"x","prob"
-2,0.0362829088974251
-1.999599959996,0.0363420105673953
-1.999199919992,0.0364011948932469
-1.998799879988,0.0364604619614133
-1.998399839984,0.0365198118583545
-1.99799979998,0.0365792446705563
-1.997599759976,0.0366387604845304
-1.997199719972,0.0366983593868144
-1.996799679968,0.0367580414639712
-1.996399639964,0.0368178068025894
-1.99599959996,0.0368776554892829
-1.995599559956,0.0369375876106901
-1.995199519952,0.0369976032534752
-1.99479947994799,0.0370577025043265
-1.99439943994399,0.0371178854499573
-1.99399939993999,0.0371781521771053
-1.99359935993599,0.0372385027725325
-1.99319931993199,0.0372989373230248
-1.99279927992799,0.0373594559153926
-1.99239923992399,0.0374200586364695
-1.99199919991999,0.0374807455731132
-1.99159915991599,0.0375415168122049
-1.99119911991199,0.0376023724406488
-1.99079907990799,0.0376633125453727
-1.99039903990399,0.037724337213327
-1.98999899989999,0.0377854465314853
-1.98959895989599,0.0378466405868436
-1.98919891989199,0.0379079194664205
-1.98879887988799,0.0379692832572571
-1.98839883988399,0.0380307320464166
-1.98799879987999,0.0380922659209839
-1.98759875987599,0.0381538849680663
-1.98719871987199,0.0382155892747924
-1.98679867986799,0.0382773789283124
-1.98639863986399,0.038339254015798
-1.98599859985999,0.0384012146244418
-1.98559855985599,0.0384632608414577
-1.98519851985199,0.0385253927540803
-1.98479847984798,0.0385876104495647
-1.98439843984398,0.0386499140151868
-1.98399839983998,0.0387123035382428
-1.98359835983598,0.0387747791060488
-1.98319831983198,0.0388373408059413
-1.98279827982798,0.038899988725276
-1.98239823982398,0.0389627229514289
-1.98199819981998,0.0390255435717951
-1.98159815981598,0.0390884506737889
-1.98119811981198,0.0391514443448442
-1.98079807980798,0.0392145246724135
-1.98039803980398,0.039277691743968
-1.97999799979998,0.0393409456469977
-1.97959795979598,0.0394042864690108
-1.97919791979198,0.0394677142975342
-1.97879787978798,0.0395312292201123
-1.97839783978398,0.0395948313243077
-1.97799779977998,0.0396585206977008
-1.97759775977598,0.0397222974278893
-1.97719771977198,0.0397861616024884
-1.97679767976798,0.0398501133091307
-1.97639763976398,0.0399141526354652
-1.97599759975998,0.0399782796691583
-1.97559755975598,0.0400424944978928
-1.97519751975198,0.0401067972093679
-1.97479747974797,0.0401711878912993
-1.97439743974397,0.0402356666314187
-1.97399739973997,0.0403002335174736
-1.97359735973597,0.0403648886372276
-1.97319731973197,0.0404296320784592
-1.97279727972797,0.0404944639289629
-1.97239723972397,0.0405593842765481
-1.97199719971997,0.0406243932090393
-1.97159715971597,0.0406894908142758
-1.97119711971197,0.0407546771801115
-1.97079707970797,0.0408199523944147
-1.97039703970397,0.0408853165450682
-1.96999699969997,0.0409507697199684
-1.96959695969597,0.0410163120070262
-1.96919691969197,0.0410819434941659
